"codendereco","rua","modulo","posicao","tipo"
"05-01-01","05","01","01",COLEÇÃO
"05-01-02","05","01","02",COLEÇÃO
"05-01-03","05","01","03",COLEÇÃO
"05-01-04","05","01","04",COLEÇÃO
"05-01-05","05","01","05",COLEÇÃO
"05-01-06","05","01","06",COLEÇÃO
"05-01-07","05","01","07",COLEÇÃO
"05-01-08","05","01","08",COLEÇÃO
"05-01-09","05","01","09",COLEÇÃO
"05-01-10","05","01","10",COLEÇÃO
"05-01-11","05","01","11",COLEÇÃO
"05-01-12","05","01","12",COLEÇÃO
"05-01-13","05","01","13",COLEÇÃO
"05-01-14","05","01","14",COLEÇÃO
"05-01-15","05","01","15",COLEÇÃO
"05-01-16","05","01","16",COLEÇÃO
"05-01-17","05","01","17",COLEÇÃO
"05-01-18","05","01","18",COLEÇÃO
"05-01-19","05","01","19",COLEÇÃO
"05-01-20","05","01","20",COLEÇÃO
"05-01-21","05","01","21",COLEÇÃO
"05-01-22","05","01","22",COLEÇÃO
"05-01-23","05","01","23",COLEÇÃO
"05-01-24","05","01","24",COLEÇÃO
"05-02-01","05","02","01",COLEÇÃO
"05-02-02","05","02","02",COLEÇÃO
"05-02-03","05","02","03",COLEÇÃO
"05-02-04","05","02","04",COLEÇÃO
"05-02-05","05","02","05",COLEÇÃO
"05-02-06","05","02","06",COLEÇÃO
"05-02-07","05","02","07",COLEÇÃO
"05-02-08","05","02","08",COLEÇÃO
"05-02-09","05","02","09",COLEÇÃO
"05-02-10","05","02","10",COLEÇÃO
"05-02-11","05","02","11",COLEÇÃO
"05-02-12","05","02","12",COLEÇÃO
"05-02-13","05","02","13",COLEÇÃO
"05-02-14","05","02","14",COLEÇÃO
"05-02-15","05","02","15",COLEÇÃO
"05-02-16","05","02","16",COLEÇÃO
"05-02-17","05","02","17",COLEÇÃO
"05-02-18","05","02","18",COLEÇÃO
"05-02-19","05","02","19",COLEÇÃO
"05-02-20","05","02","20",COLEÇÃO
"05-02-21","05","02","21",COLEÇÃO
"05-02-22","05","02","22",COLEÇÃO
"05-02-23","05","02","23",COLEÇÃO
"05-02-24","05","02","24",COLEÇÃO
"05-03-01","05","03","01",COLEÇÃO
"05-03-02","05","03","02",COLEÇÃO
"05-03-03","05","03","03",COLEÇÃO
"05-03-04","05","03","04",COLEÇÃO
"05-03-05","05","03","05",COLEÇÃO
"05-03-06","05","03","06",COLEÇÃO
"05-03-07","05","03","07",COLEÇÃO
"05-03-08","05","03","08",COLEÇÃO
"05-03-09","05","03","09",COLEÇÃO
"05-03-10","05","03","10",COLEÇÃO
"05-03-11","05","03","11",COLEÇÃO
"05-03-12","05","03","12",COLEÇÃO
"05-03-13","05","03","13",COLEÇÃO
"05-03-14","05","03","14",COLEÇÃO
"05-03-15","05","03","15",COLEÇÃO
"05-03-16","05","03","16",COLEÇÃO
"05-03-17","05","03","17",COLEÇÃO
"05-03-18","05","03","18",COLEÇÃO
"05-03-19","05","03","19",COLEÇÃO
"05-03-20","05","03","20",COLEÇÃO
