codreduzido;descricao;cor;tamanho;engenharia
194998;CAMISA ML SLIM FIT SILKY PACK PP BRANCO;201-BRANCO;PP;010450009-0
195003;CAMISA ML SLIM FIT SILKY PACK P PRETO;210-PRETO;P;010450009-0
195005;CAMISA ML SLIM FIT SILKY PACK P BRANCO;201-BRANCO;P;010450009-0
195010;CAMISA ML SLIM FIT SILKY PACK M PRETO;210-PRETO;M;010450009-0
195012;CAMISA ML SLIM FIT SILKY PACK M BRANCO;201-BRANCO;M;010450009-0
195017;CAMISA ML SLIM FIT SILKY PACK G PRETO;210-PRETO;G;010450009-0
195019;CAMISA ML SLIM FIT SILKY PACK G BRANCO;201-BRANCO;G;010450009-0
195024;CAMISA ML SLIM FIT SILKY PACK GG PRETO;210-PRETO;GG;010450009-0
195026;CAMISA ML SLIM FIT SILKY PACK GG BRANCO;201-BRANCO;GG;010450009-0
198497;BONE BASICO PC UNI BRANCO;201-BRANCO;UNI;020450000-0
198504;BONE BASICO PC UNI PRETO;210-PRETO;UNI;020450000-0
199962;TSHIRT O MC SLIM MPENTEADA PACK PP BRANCO;201-BRANCO;PP;010450001-0
199968;TSHIRT O MC SLIM MPENTEADA PACK PP PRETO;210-PRETO;PP;010450001-0
199971;TSHIRT O MC SLIM MPENTEADA PACK P BRANCO;201-BRANCO;P;010450001-0
199977;TSHIRT O MC SLIM MPENTEADA PACK P PRETO;210-PRETO;P;010450001-0
199980;TSHIRT O MC SLIM MPENTEADA PACK M BRANCO;201-BRANCO;M;010450001-0
199986;TSHIRT O MC SLIM MPENTEADA PACK M PRETO;210-PRETO;M;010450001-0
199989;TSHIRT O MC SLIM MPENTEADA PACK G BRANCO;201-BRANCO;G;010450001-0
199995;TSHIRT O MC SLIM MPENTEADA PACK G PRETO;210-PRETO;G;010450001-0
199998;TSHIRT O MC SLIM MPENTEADA PACK GG BRANCO;201-BRANCO;GG;010450001-0
200004;TSHIRT O MC SLIM MPENTEADA PACK GG PRETO;210-PRETO;GG;010450001-0
200007;TSHIRT O MC SLIM MPENTEADA PACK XG BRANCO;201-BRANCO;XG;010450001-0
200013;TSHIRT O MC SLIM MPENTEADA PACK XG PRETO;210-PRETO;XG;010450001-0
200018;TSHIRT V MC SLIM MPENTEADA BASICA PACK PP BRANCO;201-BRANCO;PP;010450002-0
200024;TSHIRT V MC SLIM MPENTEADA BASICA PACK PP PRETO;210-PRETO;PP;010450002-0
200027;TSHIRT V MC SLIM MPENTEADA BASICA PACK P BRANCO;201-BRANCO;P;010450002-0
200033;TSHIRT V MC SLIM MPENTEADA BASICA PACK P PRETO;210-PRETO;P;010450002-0
200036;TSHIRT V MC SLIM MPENTEADA BASICA PACK M BRANCO;201-BRANCO;M;010450002-0
200042;TSHIRT V MC SLIM MPENTEADA BASICA PACK M PRETO;210-PRETO;M;010450002-0
200045;TSHIRT V MC SLIM MPENTEADA BASICA PACK G BRANCO;201-BRANCO;G;010450002-0
200051;TSHIRT V MC SLIM MPENTEADA BASICA PACK G PRETO;210-PRETO;G;010450002-0
200054;TSHIRT V MC SLIM MPENTEADA BASICA PACK GG BRANCO;201-BRANCO;GG;010450002-0
200060;TSHIRT V MC SLIM MPENTEADA BASICA PACK GG PRETO;210-PRETO;GG;010450002-0
200063;TSHIRT V MC SLIM MPENTEADA BASICA PACK XG BRANCO;201-BRANCO;XG;010450002-0
200069;TSHIRT V MC SLIM MPENTEADA BASICA PACK XG PRETO;210-PRETO;XG;010450002-0
200804;BONE BEACH COLORS BASIC UNI BRANCO;201-BRANCO;UNI;020220008-0
200805;BONE BEACH COLORS BASIC UNI PRETO;210-PRETO;UNI;020220008-0
200807;BONE BEACH COLORS BASIC UNI TOMATE;205-TOMATE;UNI;020220008-0
200815;CAMISA MC SLIM TRICOLINE PACK P BRANCO;201-BRANCO;P;010220000-0
200819;CAMISA MC SLIM TRICOLINE PACK P PRETO;210-PRETO;P;010220000-0
200822;CAMISA MC SLIM TRICOLINE PACK M BRANCO;201-BRANCO;M;010220000-0
200826;CAMISA MC SLIM TRICOLINE PACK M PRETO;210-PRETO;M;010220000-0
200829;CAMISA MC SLIM TRICOLINE PACK G BRANCO;201-BRANCO;G;010220000-0
200833;CAMISA MC SLIM TRICOLINE PACK G PRETO;210-PRETO;G;010220000-0
200836;CAMISA MC SLIM TRICOLINE PACK GG BRANCO;201-BRANCO;GG;010220000-0
200840;CAMISA MC SLIM TRICOLINE PACK GG PRETO;210-PRETO;GG;010220000-0
200843;CAMISA MC SLIM TRICOLINE PACK XG BRANCO;201-BRANCO;XG;010220000-0
200847;CAMISA MC SLIM TRICOLINE PACK XG PRETO;210-PRETO;XG;010220000-0
200852;CAMISA ML SLIM TRICOLINE PACK P BRANCO;201-BRANCO;P;010220001-0
200856;CAMISA ML SLIM TRICOLINE PACK P PRETO;210-PRETO;P;010220001-0
200859;CAMISA ML SLIM TRICOLINE PACK M BRANCO;201-BRANCO;M;010220001-0
200863;CAMISA ML SLIM TRICOLINE PACK M PRETO;210-PRETO;M;010220001-0
200866;CAMISA ML SLIM TRICOLINE PACK G BRANCO;201-BRANCO;G;010220001-0
200870;CAMISA ML SLIM TRICOLINE PACK G PRETO;210-PRETO;G;010220001-0
200873;CAMISA ML SLIM TRICOLINE PACK GG BRANCO;201-BRANCO;GG;010220001-0
200877;CAMISA ML SLIM TRICOLINE PACK GG PRETO;210-PRETO;GG;010220001-0
200880;CAMISA ML SLIM TRICOLINE PACK XG BRANCO;201-BRANCO;XG;010220001-0
200884;CAMISA ML SLIM TRICOLINE PACK XG PRETO;210-PRETO;XG;010220001-0
200887;TSHIRT O MC RG MPENTEADA PAI KIDS PACK P BRANCO;201-BRANCO;P;010220002-0
200892;TSHIRT O MC RG MPENTEADA PAI KIDS PACK P PRETO;210-PRETO;P;010220002-0
200896;TSHIRT O MC RG MPENTEADA PAI KIDS PACK M BRANCO;201-BRANCO;M;010220002-0
200901;TSHIRT O MC RG MPENTEADA PAI KIDS PACK M PRETO;210-PRETO;M;010220002-0
200905;TSHIRT O MC RG MPENTEADA PAI KIDS PACK G BRANCO;201-BRANCO;G;010220002-0
200910;TSHIRT O MC RG MPENTEADA PAI KIDS PACK G PRETO;210-PRETO;G;010220002-0
200914;TSHIRT O MC RG MPENTEADA PAI KIDS PACK GG BRANCO;201-BRANCO;GG;010220002-0
200919;TSHIRT O MC RG MPENTEADA PAI KIDS PACK GG PRETO;210-PRETO;GG;010220002-0
200923;TSHIRT O MC RG MPENTEADA PAI KIDS PACK XG BRANCO;201-BRANCO;XG;010220002-0
200928;TSHIRT O MC RG MPENTEADA PAI KIDS PACK XG PRETO;210-PRETO;XG;010220002-0
200934;TSHIRT V MC REGULAR MPENTEADA BASICA P BRANCO;201-BRANCO;P;010220003-0
200939;TSHIRT V MC REGULAR MPENTEADA BASICA P PRETO;210-PRETO;P;010220003-0
200943;TSHIRT V MC REGULAR MPENTEADA BASICA M BRANCO;201-BRANCO;M;010220003-0
200948;TSHIRT V MC REGULAR MPENTEADA BASICA M PRETO;210-PRETO;M;010220003-0
200952;TSHIRT V MC REGULAR MPENTEADA BASICA G BRANCO;201-BRANCO;G;010220003-0
200957;TSHIRT V MC REGULAR MPENTEADA BASICA G PRETO;210-PRETO;G;010220003-0
200961;TSHIRT V MC REGULAR MPENTEADA BASICA GG BRANCO;201-BRANCO;GG;010220003-0
200966;TSHIRT V MC REGULAR MPENTEADA BASICA GG PRETO;210-PRETO;GG;010220003-0
200970;TSHIRT V MC REGULAR MPENTEADA BASICA XG BRANCO;201-BRANCO;XG;010220003-0
200975;TSHIRT V MC REGULAR MPENTEADA BASICA XG PRETO;210-PRETO;XG;010220003-0
211044;TSHIRT O MC SLIM MPENTEADA PACK PP GUACHE;216-GUACHE;PP;010450001-0
211045;TSHIRT O MC SLIM MPENTEADA PACK P GUACHE;216-GUACHE;P;010450001-0
211046;TSHIRT O MC SLIM MPENTEADA PACK M GUACHE;216-GUACHE;M;010450001-0
211047;TSHIRT O MC SLIM MPENTEADA PACK G GUACHE;216-GUACHE;G;010450001-0
211048;TSHIRT O MC SLIM MPENTEADA PACK GG GUACHE;216-GUACHE;GG;010450001-0
211049;TSHIRT O MC SLIM MPENTEADA PACK XG GUACHE;216-GUACHE;XG;010450001-0
211429;TSHIRT V MC SLIM MPENTEADA BASICA PACK P GUACHE;216-GUACHE;P;010450002-0
211430;TSHIRT V MC SLIM MPENTEADA BASICA PACK M GUACHE;216-GUACHE;M;010450002-0
211431;TSHIRT V MC SLIM MPENTEADA BASICA PACK G GUACHE;216-GUACHE;G;010450002-0
211432;TSHIRT V MC SLIM MPENTEADA BASICA PACK GG GUACHE;216-GUACHE;GG;010450002-0
211433;TSHIRT V MC SLIM MPENTEADA BASICA PACK XG GUACHE;216-GUACHE;XG;010450002-0
212742;TSHIRT V MC REGULAR MPENTEADA BASICA P GUACHE;216-GUACHE;P;010220003-0
212743;TSHIRT V MC REGULAR MPENTEADA BASICA M GUACHE;216-GUACHE;M;010220003-0
212744;TSHIRT V MC REGULAR MPENTEADA BASICA G GUACHE;216-GUACHE;G;010220003-0
212745;TSHIRT V MC REGULAR MPENTEADA BASICA GG GUACHE;216-GUACHE;GG;010220003-0
212746;TSHIRT V MC REGULAR MPENTEADA BASICA XG GUACHE;216-GUACHE;XG;010220003-0
212747;TSHIRT O MC RG MPENTEADA PAI KIDS PACK P GUACHE;216-GUACHE;P;010220002-0
212748;TSHIRT O MC RG MPENTEADA PAI KIDS PACK M GUACHE;216-GUACHE;M;010220002-0
212749;TSHIRT O MC RG MPENTEADA PAI KIDS PACK G GUACHE;216-GUACHE;G;010220002-0
212750;TSHIRT O MC RG MPENTEADA PAI KIDS PACK GG GUACHE;216-GUACHE;GG;010220002-0
212751;TSHIRT O MC RG MPENTEADA PAI KIDS PACK XG GUACHE;216-GUACHE;XG;010220002-0
215105;TSHIRT O MC SLIM MPENTEADA PACK PP MARACUJA;403-MARACUJA;PP;010450001-0
215107;TSHIRT O MC SLIM MPENTEADA PACK PP JADE;209-JADE;PP;010450001-0
215109;TSHIRT O MC SLIM MPENTEADA PACK P MARACUJA;403-MARACUJA;P;010450001-0
215111;TSHIRT O MC SLIM MPENTEADA PACK P JADE;209-JADE;P;010450001-0
215113;TSHIRT O MC SLIM MPENTEADA PACK M MARACUJA;403-MARACUJA;M;010450001-0
215115;TSHIRT O MC SLIM MPENTEADA PACK M JADE;209-JADE;M;010450001-0
215117;TSHIRT O MC SLIM MPENTEADA PACK G MARACUJA;403-MARACUJA;G;010450001-0
215119;TSHIRT O MC SLIM MPENTEADA PACK G JADE;209-JADE;G;010450001-0
215121;TSHIRT O MC SLIM MPENTEADA PACK GG MARACUJA;403-MARACUJA;GG;010450001-0
215125;TSHIRT O MC SLIM MPENTEADA PACK XG MARACUJA;403-MARACUJA;XG;010450001-0
215463;TSHIRT V MC SLIM MPENTEADA BASICA PACK PP JADE;209-JADE;PP;010450002-0
215465;TSHIRT V MC SLIM MPENTEADA BASICA PACK P MARACUJA;403-MARACUJA;P;010450002-0
215467;TSHIRT V MC SLIM MPENTEADA BASICA PACK P JADE;209-JADE;P;010450002-0
215469;TSHIRT V MC SLIM MPENTEADA BASICA PACK M MARACUJA;403-MARACUJA;M;010450002-0
215473;TSHIRT V MC SLIM MPENTEADA BASICA PACK G MARACUJA;403-MARACUJA;G;010450002-0
215475;TSHIRT V MC SLIM MPENTEADA BASICA PACK G JADE;209-JADE;G;010450002-0
215477;TSHIRT V MC SLIM MPENTEADA BASICA PACK GG MARACUJA;403-MARACUJA;GG;010450002-0
215479;TSHIRT V MC SLIM MPENTEADA BASICA PACK GG JADE;209-JADE;GG;010450002-0
215483;TSHIRT V MC SLIM MPENTEADA BASICA PACK XG JADE;209-JADE;XG;010450002-0
222267;CAMISA ML SLIM FIT SILKY PACK XG PRETO;210-PRETO;XG;010450009-0
222269;CAMISA ML SLIM FIT SILKY PACK XG BRANCO;201-BRANCO;XG;010450009-0
230596;TSHIRT V MC REGULAR MPENTEADA BASICA P PITANGA;704-PITANGA;P;010220003-0
230601;TSHIRT V MC REGULAR MPENTEADA BASICA M PITANGA;704-PITANGA;M;010220003-0
230603;TSHIRT V MC REGULAR MPENTEADA BASICA M ABACAXI;103-ABACAXI;M;010220003-0
230606;TSHIRT V MC REGULAR MPENTEADA BASICA G PITANGA;704-PITANGA;G;010220003-0
230611;TSHIRT V MC REGULAR MPENTEADA BASICA GG PITANGA;704-PITANGA;GG;010220003-0
230616;TSHIRT V MC REGULAR MPENTEADA BASICA XG PITANGA;704-PITANGA;XG;010220003-0
230618;TSHIRT V MC REGULAR MPENTEADA BASICA XG ABACAXI;103-ABACAXI;XG;010220003-0
230733;TSHIRT O MC RG MPENTEADA PAI KIDS PACK P PITANGA;704-PITANGA;P;010220002-0
230735;TSHIRT O MC RG MPENTEADA PAI KIDS PACK M ABACAXI;103-ABACAXI;M;010220002-0
230738;TSHIRT O MC RG MPENTEADA PAI KIDS PACK M PITANGA;704-PITANGA;M;010220002-0
230743;TSHIRT O MC RG MPENTEADA PAI KIDS PACK G PITANGA;704-PITANGA;G;010220002-0
230745;TSHIRT O MC RG MPENTEADA PAI KIDS PACK GG ABACAXI;103-ABACAXI;GG;010220002-0
230748;TSHIRT O MC RG MPENTEADA PAI KIDS PACK GG PITANGA;704-PITANGA;GG;010220002-0
230750;TSHIRT O MC RG MPENTEADA PAI KIDS PACK XG ABACAXI;103-ABACAXI;XG;010220002-0
230753;TSHIRT O MC RG MPENTEADA PAI KIDS PACK XG PITANGA;704-PITANGA;XG;010220002-0
235070;TSHIRT O MC RG MPENTEADA PAI KIDS PACK P TOMATE;205-TOMATE;P;010220002-0
235071;TSHIRT O MC RG MPENTEADA PAI KIDS PACK M TOMATE;205-TOMATE;M;010220002-0
235072;TSHIRT O MC RG MPENTEADA PAI KIDS PACK G TOMATE;205-TOMATE;G;010220002-0
235073;TSHIRT O MC RG MPENTEADA PAI KIDS PACK GG TOMATE;205-TOMATE;GG;010220002-0
235074;TSHIRT O MC RG MPENTEADA PAI KIDS PACK XG TOMATE;205-TOMATE;XG;010220002-0
235075;TSHIRT V MC REGULAR MPENTEADA BASICA P TOMATE;205-TOMATE;P;010220003-0
235076;TSHIRT V MC REGULAR MPENTEADA BASICA M TOMATE;205-TOMATE;M;010220003-0
235077;TSHIRT V MC REGULAR MPENTEADA BASICA G TOMATE;205-TOMATE;G;010220003-0
235078;TSHIRT V MC REGULAR MPENTEADA BASICA GG TOMATE;205-TOMATE;GG;010220003-0
235079;TSHIRT V MC REGULAR MPENTEADA BASICA XG TOMATE;205-TOMATE;XG;010220003-0
236447;TSHIRT O MC SLIM MPENTEADA PACK PP TOMATE;205-TOMATE;PP;010450001-0
236448;TSHIRT O MC SLIM MPENTEADA PACK PP PITANGA;704-PITANGA;PP;010450001-0
236452;TSHIRT O MC SLIM MPENTEADA PACK P TOMATE;205-TOMATE;P;010450001-0
236453;TSHIRT O MC SLIM MPENTEADA PACK P PITANGA;704-PITANGA;P;010450001-0
236457;TSHIRT O MC SLIM MPENTEADA PACK M TOMATE;205-TOMATE;M;010450001-0
236458;TSHIRT O MC SLIM MPENTEADA PACK M PITANGA;704-PITANGA;M;010450001-0
236462;TSHIRT O MC SLIM MPENTEADA PACK G TOMATE;205-TOMATE;G;010450001-0
236463;TSHIRT O MC SLIM MPENTEADA PACK G PITANGA;704-PITANGA;G;010450001-0
236467;TSHIRT O MC SLIM MPENTEADA PACK GG TOMATE;205-TOMATE;GG;010450001-0
236468;TSHIRT O MC SLIM MPENTEADA PACK GG PITANGA;704-PITANGA;GG;010450001-0
236472;TSHIRT O MC SLIM MPENTEADA PACK XG TOMATE;205-TOMATE;XG;010450001-0
236473;TSHIRT O MC SLIM MPENTEADA PACK XG PITANGA;704-PITANGA;XG;010450001-0
236511;TSHIRT V MC SLIM MPENTEADA BASICA PACK PP TOMATE;205-TOMATE;PP;010450002-0
