"usuario","codbarrastag","codreduzido","Endereco","engenharia","DataReposicao","EngenhariaPai","descricao","epc","StatusEndereco","numeroop","cor","tamanho","totalop","situacaoinventario"
"2367","01000025175306003147","251753","07-14-12","010450002-0","2023-06-19 15:00:34",,TSHIRT V MC SLIM MPENTEADA BASICA PACK XG MESCLA,"3035E2C168000F0000003842",,"120498-001","248",XG,"272",
"2367","01000025175306003139","251753","07-14-12","010450002-0","2023-06-19 15:00:39",,TSHIRT V MC SLIM MPENTEADA BASICA PACK XG MESCLA,"3035E2C168000F0000003841",,"120498-001","248",XG,"272",
"1057","01000065171203001369","651712","22-02-08","010242475-0","2023-05-30 09:04:46",,TRICOT O ML MPOLLO BASIC M BORDO,"3035E2C81C25AAC00000000F",,"114071-011","719",M,,
"1057","01000065171203001335","651712","22-02-08","010242475-0","2023-05-30 09:04:06",,TRICOT O ML MPOLLO BASIC M BORDO,"3035E2C81C25AAC00000000F",,"114071-011","719",M,,
"1057","01000065171203001288","651712","22-02-08","010242475-0","2023-05-30 09:04:01",,TRICOT O ML MPOLLO BASIC M BORDO,,,"114071-011","719",M,,OK
"2410","01000063614101000033","636141","02-33-04","010463093-0","2023-06-26 14:41:41",,TSHIRT O ML SLIM MCONFORTO EVOE PP CHOCOLATE,"3035E2C81C17180000000059",,"112317-001","818",PP,"295",
"2410","01000064594601000039","645946","02-33-04","010463093-0","2023-06-26 14:41:41",,TSHIRT O ML SLIM MCONFORTO EVOE PP CIPO,"3035E2C81C17180000000141",,"112317-001","912",PP,"295",
"2446","01000067239301000178","672393","11-52-13","010244086-0","2023-06-28 20:17:56",,TSHIRT O MC SLIM FITNESS RUNNER P NOTURNO,"3035E2C81C2E378000000013",,"115331-001","416",P,"54",OK
"1057","01000065171203001319","651712","22-02-08","010242475-0","2023-05-30 09:04:36",,TRICOT O ML MPOLLO BASIC M BORDO,"3035E2C81C25AAC00000000F",,"114071-011","719",M,,OK
"1057","01000065171203002226","651712","22-02-08","010242475-0","2023-05-30 09:04:31",,TRICOT O ML MPOLLO BASIC M BORDO,"3035E2C81C25AAC00000000F",,"114071-011","719",M,,OK
"1057","01000065171203002323","651712","22-02-08","010242475-0","2023-05-30 09:04:13",,TRICOT O ML MPOLLO BASIC M BORDO,"3035E2C81C25AAC00000000F",,"114071-011","719",M,,OK
"1057","01000066300103000061","663001","11-56-07","010244012-0",,,TSHIRT O MC SLIM MPEN CLIPPING PAI KIDS M PRETO,"3035E2C81C27D6800000001C",,"115402-001","210",M,"130",adicionado do fila
"2449","01000064936103000258","649361","06-10-11","010464005-0","2023-06-23 09:09:39","",TSHIRT O MC SLIM MPENTEADA CB BIKERS M ABACAXI,"3035E2C81C1F14000000043D","","119417-001","103",M,"155",
"1057","01000065171203001343","651712","22-02-08","010242475-0","2023-05-30 09:04:20",,TRICOT O ML MPOLLO BASIC M BORDO,"3035E2C81C25AAC00000000F",,"114071-011","719",M,,OK
"1057","01000065171203002006","651712","22-02-08","010242475-0","2023-05-30 09:04:24",,TRICOT O ML MPOLLO BASIC M BORDO,"3035E2C81C25AAC00000000F",,"114071-011","719",M,,OK
"2499","01000058103906003987","581039","09-22-23","010220012-0","2023-06-15 13:25:19",,POLO MC REG PIQUET PAI KIDS BASICA PACK XG MEL,"3035E2C1681E14C00001A4DE",,"110844-006","925",XG,"254",OK
"2410","01000058143105014200","581431","22-02-08","010450001-0","2023-06-02 10:53:57",,TSHIRT O MC SLIM MPENTEADA PACK GG MINERAL,"3035E2C168000E800003F606",,"119521-001","950",GG,"1054",OK
,"01000065760903000068",,"02-04-03",,"2023-06-21 12:08:48",,,,,,,,,
"2499","01000058103906004072","581039","09-22-23","010220012-0","2023-06-15 13:25:19",,POLO MC REG PIQUET PAI KIDS BASICA PACK XG MEL,"3035E2C1681E14C00001A4E7",,"110844-006","925",XG,"254",OK
"2499","01000058103906003995","581039","09-22-23","010220012-0","2023-06-15 13:25:19",,POLO MC REG PIQUET PAI KIDS BASICA PACK XG MEL,"3035E2C1681E14C00001A4DF",,"110844-006","925",XG,"254",OK
